,1385_at,31622_f_at,32821_at,33919_at,34407_at,35766_at,36130_f_at,37157_at,39081_at,39594_f_at,39640_at,40087_at,40103_at,40445_at,40567_at,40767_at,40848_g_at,41165_g_at,41176_at,41209_at,41423_at,41454_at,41745_at,41771_g_at,41792_at,41827_f_at,575_s_at,677_s_at,700_s_at,870_f_at,927_s_at,973_at,988_at,632_at,179_at,41296_s_at,41416_at,39916_r_at,1199_at,39155_at,553_g_at,36681_at,41106_at,38080_at,1180_g_at,41171_at,32749_s_at
25,20.0,20.0,294.3,329.7,20.0,20.0,20.0,109.1,20.0,20.0,150.9,20.0,1194.8,20.0,453.8,40.8,20.0,540.7,445.3,246.3,199.9,184.7,3758.6,175.2,20.0,1626.7,430.8,58.2,1149.7,20.0,1122.5,196.1,55.1,20.0,225.6,21.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
26,20.0,20.0,168.2,307.2,473.5,20.0,20.0,66.6,20.0,20.0,96.0,89.7,947.6,132.0,409.4,36.5,223.2,715.8,520.4,224.2,243.3,223.6,2811.5,150.7,108.7,1594.8,635.1,246.8,1734.3,20.0,1029.5,158.8,69.1,20.0,221.9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
27,416.1,50.0,92.0,223.4,364.1,1002.3,282.5,101.5,225.4,274.6,157.0,212.7,1295.4,221.9,481.7,244.8,181.7,118.8,20.0,57.1,170.1,295.5,20.0,303.0,142.4,1305.9,515.2,139.3,2133.7,912.3,1351.6,78.8,147.3,20.0,283.1,68.7,33.3,20.0,20.0,20.0,20.0,106.8,124.8,20.0,20.0,20.0,20.0
28,229.4,469.9,20.0,398.4,412.9,784.5,543.6,98.7,20.0,437.7,129.1,20.0,820.8,20.0,361.6,236.9,248.9,2136.8,20.0,306.5,239.6,247.3,3594.1,380.5,114.9,3659.0,494.7,149.1,1959.3,702.8,819.1,145.7,50.7,20.0,165.1,20.0,444.5,2338.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,739.6
29,263.4,170.9,20.0,20.0,191.6,20.0,318.4,188.7,404.1,519.4,116.8,20.0,725.7,20.0,516.9,58.4,73.9,2293.5,20.0,20.0,296.1,144.0,3873.2,324.8,20.0,20.0,642.0,20.0,2472.5,666.0,1030.4,86.5,20.0,20.0,20.0,21.1,307.7,2206.0,20.0,20.0,20.0,150.5,20.0,20.0,20.0,20.0,435.5
30,236.3,20.0,20.0,20.0,454.2,673.2,20.0,69.8,440.0,571.1,180.7,58.1,20.0,20.0,171.9,195.7,207.1,1439.7,902.9,70.9,266.0,192.0,2708.5,374.3,77.3,4231.1,701.5,112.5,1312.9,801.7,651.2,105.1,61.9,20.0,211.5,20.0,20.0,1702.1,20.0,20.0,20.0,20.0,71.3,20.0,20.0,20.0,20.0
31,20.0,20.0,166.1,300.7,486.6,1073.0,20.0,62.5,20.0,20.0,20.0,20.0,812.5,55.8,20.0,178.7,200.8,436.1,264.7,61.3,130.4,189.6,3167.0,110.3,82.6,1084.4,466.3,215.6,158.9,20.0,147.9,42.9,40.8,20.0,184.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,89.4,20.0,20.0,20.0,20.0
32,20.0,20.0,171.5,284.1,538.3,20.0,20.0,48.5,20.0,20.0,98.1,28.7,890.8,51.3,510.1,183.4,181.1,1134.1,391.7,71.0,217.6,209.1,3790.2,168.6,74.3,1879.6,491.1,365.8,721.2,20.0,462.5,58.1,51.7,20.0,276.9,32.7,20.0,20.0,20.0,20.0,20.0,20.0,69.1,20.0,20.0,20.0,20.0
33,195.8,534.1,58.8,379.7,401.3,593.5,947.1,75.9,20.0,617.3,45.6,112.0,1331.4,20.0,435.0,49.3,65.6,152.1,277.3,109.4,306.8,134.1,2411.4,258.6,106.8,992.9,20.0,176.8,2342.2,1260.3,1079.9,148.5,20.0,20.0,174.0,20.0,20.0,2269.9,20.0,20.0,20.0,20.0,65.2,20.0,20.0,20.0,20.0
34,128.5,20.7,292.7,20.0,87.7,1052.9,428.4,40.5,57.1,378.8,79.7,20.0,20.0,142.1,90.0,64.0,189.9,313.2,919.9,156.0,272.5,194.5,4312.9,20.0,96.3,1050.8,480.4,74.3,20.0,557.8,20.0,102.0,38.9,20.0,224.1,40.9,20.0,20.0,20.0,20.0,20.0,20.0,44.4,20.0,20.0,20.0,20.0
35,187.1,137.6,166.3,20.0,159.6,984.2,318.8,60.7,69.3,335.5,149.8,20.0,934.9,64.4,105.7,155.2,222.3,2578.5,20.0,208.4,20.0,200.4,3082.1,20.0,103.4,2581.7,20.0,99.5,20.0,477.3,20.0,127.9,36.3,20.0,292.1,20.0,20.0,1697.2,20.0,20.0,20.0,20.0,46.6,20.0,20.0,20.0,20.0
36,468.2,367.0,454.2,130.4,558.8,20.0,669.0,35.6,344.6,364.3,92.5,186.3,822.8,164.9,252.6,95.4,234.4,20.0,870.0,191.2,177.5,225.5,3524.8,350.5,65.6,20.0,20.0,238.0,513.7,584.1,337.4,84.1,175.9,20.0,108.9,20.0,574.0,20.0,20.0,20.0,20.0,20.0,90.7,20.0,20.0,20.0,20.0
37,162.5,393.3,205.8,148.9,277.0,20.0,914.8,98.5,333.9,20.0,108.6,183.7,1168.6,231.6,454.2,179.3,144.5,493.3,20.0,123.8,20.0,187.5,4075.9,20.0,119.3,1973.8,20.0,157.2,1823.3,1194.3,1029.2,115.9,117.7,20.0,315.8,20.0,54.1,2286.7,20.0,20.0,20.0,70.9,20.0,20.0,20.0,20.0,20.0
38,75.6,342.3,90.2,417.5,318.3,753.2,643.9,49.1,177.2,439.3,126.6,20.0,1419.1,39.1,271.5,77.4,231.5,4451.8,499.6,20.0,113.0,268.2,2535.6,20.0,90.2,1628.5,20.0,161.3,20.0,610.9,20.0,199.8,50.1,20.0,147.4,23.3,20.0,2101.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,344.2,20.0
39,113.4,20.0,142.8,260.5,264.2,20.0,801.9,128.3,419.6,519.2,262.1,50.8,1087.6,247.9,284.9,186.3,109.5,827.1,462.3,121.6,281.6,232.8,2728.6,744.5,20.0,2030.2,721.5,40.2,1399.4,1274.6,807.5,91.1,46.1,20.0,319.1,33.1,20.0,20.0,20.0,20.0,20.0,20.0,56.2,20.0,20.0,20.0,20.0
40,179.7,20.0,231.5,244.4,451.6,20.0,20.0,99.0,20.0,20.0,82.7,20.0,1316.2,168.0,290.4,188.0,155.7,3943.5,532.3,147.4,226.0,166.6,4343.3,697.6,89.5,20.0,686.6,109.7,1457.7,20.0,945.5,114.6,58.2,331.9,21.8,27.9,20.0,20.0,20.0,20.0,20.0,37.2,92.5,20.0,20.0,20.0,20.0
41,169.3,20.0,573.3,70.8,263.9,1203.8,806.4,65.6,259.9,642.2,53.0,171.8,705.9,190.2,284.3,134.3,255.7,822.8,730.2,193.4,231.3,183.2,20.0,584.5,86.7,2102.0,658.0,59.0,20.0,1009.1,1290.4,81.5,78.1,20.0,128.5,21.8,20.0,20.0,20.0,20.0,20.0,20.0,53.1,20.0,20.0,20.0,20.0
42,168.0,460.0,503.6,158.1,220.5,917.8,451.6,42.1,166.0,275.2,227.7,20.0,626.6,227.3,423.1,213.5,20.0,622.6,690.6,223.8,225.3,211.1,3507.3,568.7,64.6,1769.9,642.9,78.2,20.0,668.8,20.0,108.2,69.5,20.0,306.4,20.0,20.0,1797.0,20.0,20.0,20.0,20.0,69.3,20.0,20.0,366.2,20.0
43,350.8,569.6,65.0,20.0,365.9,608.4,767.9,146.4,328.9,365.3,231.9,172.2,20.0,20.0,20.0,189.7,160.8,508.8,384.6,146.0,20.0,196.3,2263.6,20.0,135.2,568.5,337.3,366.0,1093.6,970.3,1229.0,100.2,33.7,20.0,231.3,20.0,20.0,1888.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
44,169.7,116.6,20.0,219.5,475.1,20.0,453.6,90.9,246.9,330.2,79.4,151.1,784.1,20.0,199.0,119.6,20.0,20.0,573.0,20.0,20.0,167.7,3551.1,504.9,103.5,20.0,541.2,44.6,1173.8,789.6,677.3,42.8,73.3,20.0,214.2,20.0,529.4,20.0,20.0,20.0,20.0,55.1,36.5,20.0,20.0,20.0,859.9
45,109.2,20.0,46.3,270.9,158.5,92.0,20.0,102.3,20.0,20.0,155.3,20.0,340.3,45.2,34.7,34.7,20.0,403.1,203.1,20.0,20.0,159.9,398.7,180.1,117.9,1650.6,20.0,20.0,20.0,20.0,20.0,154.7,91.4,20.0,20.0,46.3,20.0,2398.7,20.0,195.4,20.0,26.9,50.6,20.0,20.0,405.3,20.0
46,200.9,497.6,519.4,59.6,230.6,20.0,481.0,159.4,417.5,512.1,179.2,81.6,1398.1,113.3,306.9,533.8,103.4,1638.9,592.7,54.8,20.0,173.2,2247.2,435.8,94.5,1908.3,706.9,59.1,1279.8,903.2,699.6,169.3,20.0,20.0,20.0,40.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
47,34.8,311.3,51.1,20.0,338.8,1014.6,456.7,75.8,235.4,437.7,20.0,20.0,605.6,229.9,135.1,415.1,39.5,2360.9,20.0,171.5,20.0,142.9,3776.9,801.3,121.7,2455.3,615.6,94.2,20.0,590.8,20.0,110.8,91.3,20.0,232.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.9,20.0,20.0,358.0,20.0
48,20.0,39.4,20.0,20.0,329.1,20.0,363.8,64.1,99.7,291.9,215.6,117.8,1556.5,147.6,20.0,204.3,20.0,504.6,752.5,54.5,20.0,319.2,3566.7,680.5,94.5,1224.5,597.2,86.9,20.0,530.7,20.0,111.6,32.4,20.0,141.4,32.0,20.0,1698.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
49,20.0,20.0,100.3,117.3,20.0,20.0,20.0,143.3,20.0,620.8,332.8,136.3,20.0,20.0,473.2,150.1,205.2,1669.5,234.9,165.4,269.2,226.7,4392.8,402.8,150.4,3810.4,20.0,282.4,530.6,20.0,235.3,20.0,20.0,20.0,210.3,20.0,20.5,20.0,20.0,20.0,20.0,46.3,115.9,20.0,20.0,20.0,20.0
50,422.4,181.4,39.5,353.6,552.6,977.5,565.0,96.8,261.0,417.2,238.0,196.5,20.0,201.9,20.0,113.3,20.0,3545.5,571.5,181.9,312.5,213.3,3531.6,296.2,20.0,5152.6,556.8,76.1,20.0,783.8,20.0,146.6,100.2,20.0,207.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,99.6,20.0,20.0,20.0,20.0
51,248.5,237.9,30.5,378.9,255.1,1139.4,539.9,107.4,181.7,546.4,247.7,237.3,20.0,192.8,441.6,176.4,193.4,967.9,418.4,226.9,20.0,199.6,2421.1,467.6,20.0,1652.0,20.0,39.3,20.0,1228.3,20.0,20.0,68.0,20.0,20.0,20.0,432.0,20.0,20.0,20.0,20.0,20.0,110.8,20.0,20.0,20.0,882.0
52,272.6,271.6,340.4,114.4,491.6,837.0,573.4,96.6,265.9,510.7,96.5,106.8,1173.0,20.0,366.0,172.5,234.2,20.0,495.3,191.2,206.4,202.0,20.0,20.0,20.0,20.0,435.7,96.6,20.0,1030.5,1099.1,130.2,87.4,20.0,250.2,23.1,108.5,20.0,20.0,20.0,20.0,20.0,56.8,20.0,20.0,20.0,20.0
53,574.9,20.0,344.9,20.0,20.0,1070.2,20.0,104.2,20.0,20.0,151.1,20.0,961.7,20.0,499.0,88.8,218.8,2083.6,593.7,239.8,215.4,153.9,20.0,229.3,20.0,5999.1,20.0,326.2,908.8,20.0,617.1,20.0,137.5,20.0,210.6,23.0,20.0,20.0,20.0,20.0,20.0,20.0,167.9,20.0,20.0,20.0,20.0
54,530.4,657.2,28.1,388.4,454.6,20.0,20.0,74.8,533.6,20.0,193.0,67.3,1415.5,91.8,20.0,20.0,20.0,1765.8,464.0,180.3,237.1,255.0,20.0,232.4,86.9,2134.6,683.5,363.8,1388.0,1132.9,498.8,195.5,57.9,20.0,188.5,46.7,20.0,20.0,20.0,20.0,20.0,20.0,153.0,20.0,20.0,20.0,20.0
55,99.1,601.3,57.9,20.0,402.7,522.4,646.6,96.2,221.4,464.1,69.4,20.0,695.4,211.9,207.2,265.1,80.4,1255.7,441.8,20.0,20.0,97.0,3413.2,833.3,129.5,3575.9,310.8,59.9,20.0,939.3,20.0,102.8,58.3,20.0,252.0,26.0,20.0,20.0,20.0,20.0,20.0,20.0,102.1,20.0,20.0,20.0,20.0
56,196.6,20.0,345.1,413.1,262.3,635.5,20.0,77.4,20.0,20.0,30.8,57.0,1143.6,20.0,167.3,80.2,124.2,497.8,136.6,115.2,20.0,286.3,2233.7,378.1,127.6,2793.8,733.3,95.1,1356.3,20.0,573.6,20.0,55.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,98.0,20.0,20.0,20.0,439.9
57,20.0,621.3,458.6,20.0,20.0,20.0,20.0,184.7,219.5,20.0,345.0,28.2,1214.2,252.6,520.3,56.0,20.0,20.0,58.3,90.5,226.3,287.1,4285.3,106.2,136.4,276.8,20.0,214.5,132.9,1260.9,214.3,196.2,20.0,20.0,20.0,27.8,20.0,20.0,20.0,20.0,20.0,20.0,191.8,20.0,20.0,388.0,20.0
58,161.4,204.9,20.0,297.8,313.1,1217.9,564.9,96.8,234.4,527.8,195.4,112.7,873.5,125.9,231.7,89.8,248.3,745.5,785.6,349.2,20.0,173.2,4171.5,20.0,20.0,4321.4,626.6,20.0,20.0,852.6,1176.2,157.4,80.4,20.0,242.6,35.3,50.2,2450.5,20.0,20.0,20.0,140.3,20.0,20.0,20.0,396.3,526.6
59,20.0,542.5,256.5,20.0,582.6,20.0,728.8,65.6,463.8,478.0,221.1,86.9,749.0,166.0,20.0,200.3,219.6,940.6,20.0,240.6,20.0,129.0,20.0,384.4,127.8,5070.6,510.8,20.0,2316.3,1127.3,1047.4,20.0,54.8,20.0,287.7,24.7,20.0,20.0,20.0,20.0,20.0,54.3,20.9,20.0,20.0,20.0,20.0
60,428.9,20.0,73.3,20.0,398.4,480.5,20.0,84.9,20.0,494.9,89.5,97.9,1144.5,171.0,202.3,94.6,97.3,20.0,624.6,147.7,315.1,146.9,4355.3,358.3,112.2,20.0,607.8,80.0,1112.0,1253.1,601.5,183.2,123.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,314.7,20.0,57.2,20.0,20.0,20.0,20.0
61,548.5,590.3,41.5,365.2,363.5,516.2,20.0,61.2,265.4,573.5,124.8,117.8,1067.2,117.8,173.1,38.3,73.4,3438.6,528.2,93.5,333.0,145.7,4203.3,273.8,125.4,5513.4,722.9,104.7,671.6,862.3,492.4,165.5,118.4,20.0,288.7,58.3,20.0,20.0,20.0,20.0,313.8,20.0,69.3,20.0,20.0,20.0,20.0
62,133.7,601.3,33.1,217.8,472.3,344.2,927.4,86.6,377.7,526.5,265.7,138.0,750.5,20.0,187.9,273.0,218.7,2137.4,675.7,196.8,20.0,113.7,20.0,20.0,119.8,5954.1,268.8,111.0,20.0,845.2,20.0,20.0,68.7,20.0,274.9,20.0,20.0,20.0,20.0,20.0,20.0,61.9,20.0,20.0,20.0,20.0,20.0
63,626.9,20.0,200.3,279.0,20.0,353.3,20.0,176.4,20.0,20.0,210.8,20.0,686.5,50.3,316.3,65.6,207.5,3752.9,291.0,87.8,336.2,223.5,3838.7,231.7,114.9,20.0,177.1,158.0,462.0,1195.1,248.4,164.5,33.9,20.0,275.8,21.7,20.0,20.0,20.0,20.0,20.0,20.0,43.3,20.0,20.0,20.0,20.0
64,407.5,20.0,20.0,340.6,20.0,675.0,755.1,78.1,20.0,20.0,278.4,26.2,1236.9,71.9,310.1,157.3,120.8,20.0,291.6,35.2,20.0,196.5,3324.1,507.6,106.5,861.0,677.4,125.0,2021.6,1097.2,979.9,20.0,28.0,20.0,20.0,21.8,130.0,20.0,20.0,20.0,20.0,20.0,65.8,20.0,20.0,20.0,20.0
65,436.9,606.6,177.6,142.2,347.4,782.2,859.6,159.9,236.1,431.5,260.7,103.5,1081.4,188.0,287.2,31.3,230.6,3438.8,818.5,109.1,275.4,199.0,3517.3,258.8,133.1,20.0,660.1,222.4,1618.6,1003.7,826.0,206.7,155.7,20.0,139.5,47.6,20.1,20.0,20.0,20.0,20.0,20.0,140.1,20.0,20.0,20.0,20.0
66,20.0,587.6,20.0,124.0,20.0,20.0,866.0,57.8,20.0,618.6,193.7,32.2,1484.4,20.0,20.0,75.0,20.0,1019.8,125.5,82.2,191.8,311.4,4823.4,170.3,98.7,5460.5,20.0,206.5,619.6,875.8,388.3,151.0,20.0,20.0,116.9,54.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
67,85.6,20.0,82.2,20.0,290.4,1006.0,488.7,144.8,280.7,445.0,217.9,20.0,1432.0,20.0,20.0,207.5,186.7,321.0,607.7,77.7,275.6,114.7,20.0,832.6,135.8,1071.9,694.3,100.7,20.0,651.2,20.0,158.4,92.7,20.0,229.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,711.0
68,328.7,338.6,309.2,20.0,587.8,725.1,603.7,109.5,459.9,530.1,217.6,162.9,1281.8,178.8,495.5,117.9,244.0,20.0,20.0,85.4,322.4,256.3,2658.1,310.8,84.1,3682.7,567.1,324.1,1638.8,545.5,702.9,121.4,89.1,20.0,147.8,20.0,20.0,1962.2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
